State,Year,Slab,MultiBeam,GirderFloorBeamSystem,TeaBeam,BoxBeamMultiple,ArchDeck,Culvert,TrussThru,Frame,BoxBeamSingle,TrussDeck
ALABAMA,1992,0.32678090858242986,0.2576281122783863,0.2925974581826495,0.41742572722261223,0.29946053023066443,0.8504905184610104,0.1343801782903174,0.8874946334018831,0.8514528074397554,0.014134017183714362,0.8059976818118824
ALASKA,1992,0.08246980783122959,0.26855850726406355,0.11527155023745723,0.17285169482574655,0.2640560330522599,0.1419220285785083,1.0,0.49466985311069644,0.13740458015267176,0.0,0.030211803841818517
ARIZONA,1992,0.1831390593701469,0.17704657527229578,0.09633830252525367,0.22485649497908086,0.13702299112811925,0.32050650282096627,0.061438050383628116,0.9274532821198913,0.1975194843350921,0.08723121832817217,0.4138200319073347
ARKANSAS,1992,0.1708598984479917,0.3291848855748229,0.2220298595705419,0.323594835646826,0.1920913949460904,0.3694965369658759,0.05438386441106469,0.6728885043675684,0.1311387825558706,0.0,0.5866335346739048
CALIFORNIA,1992,0.21879876323692554,0.4973445914259612,0.8856313552858484,0.3445930506660027,0.342175987982207,0.6232824682743339,0.12631903361011929,0.9414772742880024,0.0,0.0,0.621819019009885
COLORADO,1992,0.21437899793007095,0.29569739522525396,0.4460252657711832,0.3024810289198073,0.27168200548345983,0.5769613783084558,0.10365025114180466,0.769020787267924,0.6262456522268643,0.28027057533913324,0.7187877214213624
CONNECTICUT,1992,0.3923846037806101,0.5185410149158625,0.8331247352171642,0.5904827252227671,0.24569823485193618,0.44359997118813727,0.1171154772402923,0.7474677112548815,0.8061718264606843,0.23328770441473873,0.4110953037203685
DELAWARE,1992,0.16663921124095807,0.30609418838409247,0.15879732776984143,0.25643893680275515,0.339491861778931,0.6585502986303937,0.08156002521148925,0.6906764060013938,0.22132085919373304,0.0,0.11599784839389174
DIST. OF COL.,1992,0.867399994774384,0.6739934993830408,0.6639227059556206,1.0,0.7293190351676118,0.9562871430890701,0.0,0.0,0.3949207285620831,0.5992833312739404,1.0
FLORIDA,1992,0.2407288360285312,0.2458836217959129,0.041800774299491195,0.5729781671831905,0.5495338220967386,0.5342848731138625,0.14568752105139807,0.2836283705438885,0.768807976788852,0.08894099083542309,1.0
GEORGIA,1992,0.376148366640445,0.2667212955686262,0.4140365679328949,0.23046423274538663,0.09152812063872323,0.6164778173449157,0.1382721490130534,1.0,0.0,0.025714241839631908,0.9269300464431618
HAWAII,1992,0.5552829593463534,0.23164911599221394,0.3786812051438166,0.48748135630943945,0.26315556882077373,0.7346486945058165,0.37511684880349533,0.8367177679578058,0.3100963552576456,0.0,1.0
IDAHO,1992,0.17967611855438645,0.31115479900064635,0.14735766075593623,0.21625053577700368,0.09229290512733718,0.254488792750264,0.02326455958981576,0.7599706218551158,0.1341348336363343,0.023773223789801002,0.22210429592743136
ILLINOIS,1992,0.25361751196286814,0.3790834023168502,0.7019808414363555,0.49503839665450555,0.1085683185658721,0.512147749460575,0.12296242460466815,0.7191558891894542,0.7516446395177477,0.44795419925292335,0.7110794420502528
INDIANA,1992,0.12384397639810998,0.30122076623032334,0.47258767855568234,0.3799078282231257,0.15761865338365671,0.5064938646417549,0.19077306733167082,0.8265210373786591,0.7678414317494152,0.08275555686186349,0.769403985538844
IOWA,1992,0.088612350618781,0.2489626780749035,0.40927782346685637,0.22592669162587156,0.4371314361423355,0.5541826013523843,0.06459433746730728,0.7832003689759632,0.34046481421348057,0.8409876895908738,0.8310844160245621
KANSAS,1992,0.2021200508468335,0.33589505576814993,0.5091520905480073,0.20312673778593746,0.6420292298040907,0.5107947877021778,0.18770264222932717,0.8378169194028697,0.19860407065698416,0.25891224862888484,0.7703239066000935
KENTUCKY,1992,0.3972003806771736,0.2248870732505157,0.25772790207507845,0.3521973598860803,0.20956048534983168,0.30580534890225514,0.37279072361936283,0.6049626334461651,0.037503481670344736,0.171421499210186,0.9927150081409003
LOUISIANA,1992,0.20226274352352713,0.32102757233804297,0.5214198890724607,0.4270620695210764,0.1351753502472015,0.4275845411443986,0.18389111403341665,0.4432706813540143,0.0,0.0,0.009620462269643752
MAINE,1992,0.2754145015284937,0.31119974546603624,0.6289386648375791,0.5152003462858178,0.0,0.6654727821053529,0.07626038246088468,0.9097846733119295,0.37527622120919274,0.5618729096989967,0.1460364395728069
MARYLAND,1992,0.19377472947563532,0.35236093711805705,0.4507761592649957,0.6769990491182369,0.38722664852498895,0.5966077442032409,0.23785085108139703,0.5996858953988405,0.6014057487504593,0.9191023195990597,0.2918029015329325
MASSACHUSETTS,1992,0.4003046896109217,0.850643828542914,0.8310834452164171,0.6232790509257616,0.6874835402750881,0.6712399269870715,0.25182296496588347,0.5710427063141488,0.9309235604143622,0.8812163666883831,0.7451131604905171
MICHIGAN,1992,0.28623712493867676,0.4623994117039942,0.5459746934471726,0.405681260746627,0.1868708070297965,0.640042642155975,0.17711433090505319,0.9902863313391087,0.6120142900113078,0.0047861525848671834,0.5414339773128797
MINNESOTA,1992,0.09801607719450708,0.13825412757095995,0.34683823593751595,0.6595912835135642,0.27591237693828546,0.5689950871352096,0.03391583950789878,0.6628057312042255,0.26031150662279723,0.0,0.7218733218115998
MISSISSIPPI,1992,0.17270124086931735,0.3049637592296838,0.4404909728770658,0.7540006446009883,0.251056720450793,0.624114984682777,0.004745257278688978,0.6987159505861874,0.965700643612786,0.4038689584722906,1.0
MISSOURI,1992,0.3672480697263895,0.33202325214552375,0.6973907614735301,0.43907034973792,0.5904135970767947,0.8324859433340654,0.20307687482901085,0.8428936974016328,0.5924954888058351,0.36828832615319956,0.7484074950882186
MONTANA,1992,0.5253323781920831,0.20897887209003788,0.5078345733346267,0.208412295112797,0.40859388326938445,0.8257187133912502,0.29381644175782345,0.7562489016698173,0.0,0.0,0.7459060399129659
NEBRASKA,1992,0.12948049543839635,0.25146695994632556,0.702593865054444,0.06778835475031873,0.7280046337376991,0.465160001265339,0.08653930889410008,0.7955259868518199,0.3017813874574743,0.0,0.7974319272521964
NEVADA,1992,0.33581295314667053,0.19883334864140764,0.045251487961735136,0.36140055766115464,0.5098600094258274,0.4936012636012636,0.0391047275019193,0.6556636016846377,0.7640663651508718,0.0,0.0
NEW HAMPSHIRE,1992,0.2891426440403656,0.30709838510276083,0.5020266866833253,0.6025047374589694,0.39956521739130435,0.35118698743872406,0.21939351649639388,0.4207255819164297,0.3546380041404344,0.0,1.0
NEW JERSEY,1992,0.48412505742605294,0.45151980810744613,0.8312119848603808,0.8199587079498796,0.31898878011636767,0.6622315822907604,0.18357846585496249,0.8399422629294928,0.5562517161228548,0.2628933630988804,0.9926200273309889
NEW MEXICO,1992,0.14547647773330138,0.2457115202137069,0.06830668718786317,0.3464776638830422,0.16671639694168475,0.6165496540210567,0.24290119158924986,0.919603708365772,0.0785318603476916,0.107580077142378,0.21214995569443554
NEW YORK,1992,0.6886128963269383,0.7468024605952522,0.9532910942495858,0.9335399645078629,0.42320462083877647,0.9196098025958008,0.3629939674671369,0.9808839274291338,0.9004574924270449,0.804987276121774,0.9600678115297372
NORTH CAROLINA,1992,0.1310090544765916,0.3547502391643251,0.9070301470152157,0.7219755530542046,0.12035349902068378,0.8046233416659431,0.2957537898514298,0.8865972581166314,0.5119349277969838,0.0,1.0
NORTH DAKOTA,1992,0.10863555145110211,0.27015498053043635,0.044145851360139134,0.12865292810410328,0.06407454862011751,1.0,0.11591487501366182,0.7642276848915343,0.0,0.0456457377166219,1.0
OHIO,1992,0.20063184552510321,0.37084469758651695,0.5175830464805106,0.6316338590234899,0.09856577033607372,0.648257462385671,0.0,0.7140500828481909,0.4991229927963078,0.0,0.5928628175797117
OKLAHOMA,1992,0.33569417558564113,0.2903446209092005,0.3234181819479083,0.07563406260386787,0.5644048865466457,0.302213803764956,0.09050993171911009,0.8044692507745522,0.42473562603854476,0.3499667188599466,0.3867718805709946
OREGON,1992,0.14274934153541682,0.3254762349605676,0.45791042725973824,0.29056479784164346,0.2517988675179507,0.8499349668414243,0.4599856982327102,0.43654378947877165,0.38184490671768573,0.09108260822095446,0.5213054246969046
PENNSYLVANIA,1992,0.3167283909386576,0.40029060335883726,0.5914862242171889,0.5544430129854536,0.3080981095620731,0.6996641598365315,0.18438665676466845,0.8047990080233681,0.6500870411401686,0.2856617057280721,0.7770332718473726
