State,Year,Slab,MultiBeam,GirderFloorBeamSystem,TeaBeam,BoxBeamMultiple,ArchDeck,Culvert,TrussThru,Frame,BoxBeamSingle,TrussDeck,Label
ALABAMA,1992,0.32678090858242986,0.2576281122783863,0.2925974581826495,0.4174257272226122,0.29946053023066443,0.8504905184610104,0.1343801782903174,0.8874946334018831,0.8514528074397554,0.014134017183714362,0.8059976818118824,1
ALASKA,1992,0.08246980783122959,0.26855850726406355,0.11527155023745725,0.17285169482574655,0.2640560330522599,0.1419220285785083,1.0,0.4946698531106965,0.13740458015267176,0.0,0.03021180384181852,1
ARIZONA,1992,0.1831390593701469,0.17704657527229578,0.09633830252525367,0.22485649497908086,0.13702299112811925,0.3205065028209663,0.06143805038362812,0.9274532821198912,0.1975194843350921,0.08723121832817217,0.4138200319073347,1
ARKANSAS,1992,0.1708598984479917,0.3291848855748229,0.2220298595705419,0.323594835646826,0.1920913949460904,0.3694965369658759,0.054383864411064686,0.6728885043675684,0.1311387825558706,0.0,0.5866335346739048,1
CALIFORNIA,1992,0.21879876323692554,0.4973445914259612,0.8856313552858484,0.3445930506660027,0.34217598798220694,0.6232824682743339,0.12631903361011929,0.9414772742880024,0.0,0.0,0.621819019009885,1
COLORADO,1992,0.21437899793007092,0.295697395225254,0.4460252657711832,0.3024810289198073,0.27168200548345983,0.5769613783084558,0.10365025114180466,0.7690207872679241,0.6262456522268643,0.28027057533913324,0.7187877214213624,1
CONNECTICUT,1992,0.3923846037806101,0.5185410149158625,0.8331247352171642,0.5904827252227671,0.24569823485193615,0.4435999711881373,0.1171154772402923,0.7474677112548815,0.8061718264606843,0.23328770441473876,0.4110953037203685,1
DELAWARE,1992,0.16663921124095807,0.3060941883840925,0.15879732776984146,0.25643893680275515,0.33949186177893104,0.6585502986303937,0.08156002521148925,0.6906764060013938,0.22132085919373304,0.0,0.11599784839389175,1
DIST. OF COL.,1992,0.867399994774384,0.6739934993830408,0.6639227059556206,1.0,0.7293190351676118,0.95628714308907,0.0,0.0,0.3949207285620831,0.5992833312739404,1.0,1
FLORIDA,1992,0.2407288360285312,0.2458836217959129,0.0418007742994912,0.5729781671831905,0.5495338220967386,0.5342848731138625,0.14568752105139807,0.2836283705438885,0.768807976788852,0.08894099083542309,1.0,1
GEORGIA,1992,0.376148366640445,0.2667212955686262,0.4140365679328949,0.23046423274538666,0.09152812063872323,0.6164778173449157,0.1382721490130534,1.0,0.0,0.025714241839631908,0.9269300464431618,1
HAWAII,1992,0.5552829593463534,0.23164911599221394,0.3786812051438166,0.4874813563094394,0.2631555688207737,0.7346486945058165,0.3751168488034953,0.8367177679578058,0.3100963552576456,0.0,1.0,1
IDAHO,1992,0.17967611855438645,0.31115479900064635,0.14735766075593626,0.21625053577700368,0.09229290512733718,0.254488792750264,0.02326455958981576,0.7599706218551158,0.1341348336363343,0.023773223789801,0.22210429592743136,1
ILLINOIS,1992,0.2536175119628681,0.3790834023168502,0.7019808414363555,0.4950383966545056,0.1085683185658721,0.512147749460575,0.12296242460466815,0.7191558891894542,0.7516446395177477,0.44795419925292335,0.7110794420502528,1
INDIANA,1992,0.12384397639810997,0.3012207662303233,0.4725876785556824,0.3799078282231257,0.15761865338365671,0.5064938646417549,0.1907730673316708,0.8265210373786591,0.7678414317494152,0.08275555686186349,0.7694039855388441,1
IOWA,1992,0.08861235061878098,0.2489626780749035,0.4092778234668564,0.2259266916258716,0.4371314361423355,0.5541826013523843,0.06459433746730728,0.7832003689759632,0.34046481421348057,0.8409876895908738,0.8310844160245621,1
KANSAS,1992,0.2021200508468335,0.33589505576814993,0.5091520905480073,0.20312673778593746,0.6420292298040907,0.5107947877021778,0.1877026422293272,0.8378169194028697,0.19860407065698416,0.25891224862888484,0.7703239066000935,1
KENTUCKY,1992,0.3972003806771736,0.2248870732505157,0.25772790207507845,0.3521973598860803,0.20956048534983168,0.30580534890225514,0.3727907236193628,0.6049626334461651,0.037503481670344736,0.171421499210186,0.9927150081409004,1
LOUISIANA,1992,0.20226274352352716,0.32102757233804297,0.5214198890724607,0.4270620695210764,0.1351753502472015,0.4275845411443986,0.18389111403341665,0.4432706813540143,0.0,0.0,0.009620462269643752,1
MAINE,1992,0.2754145015284937,0.31119974546603624,0.6289386648375791,0.5152003462858178,0.0,0.6654727821053529,0.07626038246088468,0.9097846733119296,0.3752762212091928,0.5618729096989967,0.1460364395728069,1
